"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
TE-4,ESCA,aero_digestive_tract,oesophagus,0.018804,0.060446
SK-GT-2,STAD,digestive_system,stomach,0.039725,0.133305
H3255,LUAD,lung,lung_NSCLC_adenocarcinoma,0.034593,0.138841
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,0.034210,0.145371
DiFi,COREAD,digestive_system,large_intestine,0.050225,0.155109
NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.063333,0.186062
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,0.072010,0.186534
NUGC-4,STAD,digestive_system,stomach,0.078942,0.198976
HSC-3,HNSC,aero_digestive_tract,head_and_neck,0.113788,0.225619
OVMIU,OV,urogenital_system,ovary,0.089326,0.238777
KYSE-450,ESCA,aero_digestive_tract,oesophagus,0.112805,0.240826
CAL-27,HNSC,aero_digestive_tract,head_and_neck,0.120901,0.250515
CHL-1,SKCM,skin,melanoma,0.129966,0.255943
OE19,ESCA,aero_digestive_tract,oesophagus,0.113952,0.258661
OVCA420,OV,urogenital_system,ovary,0.107907,0.260221
LB2241-RCC,KIRC,kidney,kidney,0.138859,0.281362
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,0.126869,0.284427
KYAE-1,ESCA,aero_digestive_tract,oesophagus,0.153953,0.287289
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,0.171109,0.292793
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,0.168605,0.299315
NCI-N87,STAD,digestive_system,stomach,0.144724,0.310182
SCC-9,HNSC,aero_digestive_tract,head_and_neck,0.163762,0.320211
JHU-029,HNSC,aero_digestive_tract,head_and_neck,0.174407,0.320274
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.179484,0.322985
SCC-15,HNSC,aero_digestive_tract,head_and_neck,0.198723,0.339641
EMC-BAC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.223179,0.351865
RMG-I,UNCLASSIFIED,urogenital_system,ovary,0.218602,0.352660
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,0.224751,0.362935
AU565,BRCA,breast,breast,0.276774,0.376232
SAT,HNSC,aero_digestive_tract,head_and_neck,0.249958,0.378700
ACHN,KIRC,kidney,kidney,0.288112,0.386281
HCC2218,BRCA,breast,breast,0.269734,0.389383
MDA-MB-175-VII,BRCA,breast,breast,0.312773,0.395523
BPH-1,UNCLASSIFIED,urogenital_system,prostate,0.354479,0.415288
NCI-H1623,LUAD,lung,lung_NSCLC_adenocarcinoma,0.410502,0.438643
DOK,HNSC,aero_digestive_tract,head_and_neck,0.422517,0.447608
OE21,ESCA,aero_digestive_tract,oesophagus,0.447469,0.452489
NB12,NB,nervous_system,neuroblastoma,0.456039,0.453185
TK10,KIRC,kidney,kidney,0.525271,0.474448
HSC-4,HNSC,aero_digestive_tract,head_and_neck,0.530517,0.476808
NCI-H1568,LUAD,lung,lung_NSCLC_adenocarcinoma,0.548252,0.481156
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.558106,0.483007
JHH-1,LIHC,digestive_system,liver,0.562306,0.483582
NCI-H1781,LUAD,lung,lung_NSCLC_adenocarcinoma,0.581606,0.488607
UACC-893,BRCA,breast,breast,0.593500,0.492424
HN,HNSC,aero_digestive_tract,head_and_neck,0.638180,0.503469
Calu-3,LUAD,lung,lung_NSCLC_adenocarcinoma,0.646343,0.504843
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,0.717143,0.520414
ZR-75-30,BRCA,breast,breast,0.788313,0.529094
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,0.750386,0.529479
BT-474,BRCA,breast,breast,0.813248,0.538838
OCUB-M,BRCA,breast,breast,0.857655,0.553482
DSH1,BLCA,urogenital_system,bladder,0.915610,0.562280
NUGC-3,STAD,digestive_system,stomach,1.058318,0.578927
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,1.049149,0.582030
C-33-A,CESC,urogenital_system,cervix,1.114818,0.592115
RERF-LC-Sq1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.359564,0.603424
769-P,KIRC,kidney,kidney,1.234391,0.603794
JHU-022,HNSC,aero_digestive_tract,head_and_neck,1.374349,0.611592
HCC202,BRCA,breast,breast,1.442994,0.612604
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,1.287196,0.617666
HSC-2,HNSC,aero_digestive_tract,head_and_neck,1.345666,0.625693
SW13,ACC,kidney,adrenal_gland,1.443224,0.631562
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,1.759732,0.647873
EFM-192A,BRCA,breast,breast,1.780189,0.651938
BHY,HNSC,aero_digestive_tract,head_and_neck,1.692028,0.657826
EKVX,LUAD,lung,lung_NSCLC_adenocarcinoma,2.623896,0.661032
DU-145,PRAD,urogenital_system,prostate,1.913954,0.665935
TE-15,ESCA,aero_digestive_tract,oesophagus,2.009210,0.669017
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,1.820084,0.669522
LB1047-RCC,KIRC,kidney,kidney,2.015518,0.671783
CAL-33,HNSC,aero_digestive_tract,head_and_neck,1.920815,0.674602
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,2.115713,0.674671
HCC1954,BRCA,breast,breast,2.172340,0.683859
NCI-H508,COREAD,digestive_system,large_intestine,3.213991,0.691298
RCC-AB,KIRC,kidney,kidney,2.590894,0.699215
OSC-19,HNSC,aero_digestive_tract,head_and_neck,2.308175,0.700079
FADU,HNSC,aero_digestive_tract,head_and_neck,2.282347,0.701748
BICR78,HNSC,aero_digestive_tract,head_and_neck,2.750365,0.711042
NCI-H1693,LUAD,lung,lung_NSCLC_adenocarcinoma,3.677395,0.713742
JHOS-2,OV,urogenital_system,ovary,2.850658,0.713816
NCI-H290,MESO,lung,mesothelioma,2.436074,0.716389
SAS,HNSC,aero_digestive_tract,head_and_neck,2.699206,0.717114
CaR-1,COREAD,digestive_system,large_intestine,3.409991,0.719555
CAKI-1,KIRC,kidney,kidney,3.539399,0.720513
TOV-112D,OV,urogenital_system,ovary,2.860320,0.725740
JHOS-4,OV,urogenital_system,ovary,3.361445,0.726803
SCC90,HNSC,aero_digestive_tract,head_and_neck,3.676953,0.727488
ME-180,CESC,urogenital_system,cervix,3.070978,0.730385
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.114430,0.733464
HCC1419,BRCA,breast,breast,3.675495,0.735142
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,3.089493,0.741276
NCI-H358,LUAD,lung,lung_NSCLC_adenocarcinoma,3.660890,0.749158
CAL-85-1,BRCA,breast,breast,4.304368,0.750224
SW1116,COREAD,digestive_system,large_intestine,5.281282,0.753908
OVISE,OV,urogenital_system,ovary,4.786240,0.760312
T-T,ESCA,aero_digestive_tract,oesophagus,3.499706,0.760755
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,3.745479,0.761547
ESO26,ESCA,aero_digestive_tract,oesophagus,3.675307,0.766560
SCC-25,HNSC,aero_digestive_tract,head_and_neck,3.974342,0.767936
RCC-MF,KIRC,kidney,kidney,4.739288,0.769785
SW1463,COREAD,digestive_system,large_intestine,7.471454,0.769881
CW-2,COREAD,digestive_system,large_intestine,4.888998,0.773754
CAL-39,CESC,urogenital_system,cervix,4.240302,0.783647
UWB1.289,OV,urogenital_system,ovary,6.269832,0.783999
KYSE-220,ESCA,aero_digestive_tract,oesophagus,4.647737,0.786054
RCC10RGB,KIRC,kidney,kidney,9.702526,0.787730
KYSE-410,ESCA,aero_digestive_tract,oesophagus,4.823177,0.788200
BICR22,HNSC,aero_digestive_tract,head_and_neck,4.951879,0.788874
OVTOKO,OV,urogenital_system,ovary,5.899077,0.789249
LB996-RCC,KIRC,kidney,kidney,5.069817,0.790281
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,5.351274,0.790802
DMS-273,SCLC,lung,lung_small_cell_carcinoma,4.990182,0.792390
U-87-MG,GBM,nervous_system,glioma,5.894707,0.793755
TE-12,ESCA,aero_digestive_tract,oesophagus,6.747763,0.795453
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,6.140564,0.796174
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,5.267623,0.800653
SCC-4,HNSC,aero_digestive_tract,head_and_neck,5.757657,0.800695
DOV13,OV,urogenital_system,ovary,5.690181,0.802787
NOMO-1,LAML,blood,acute_myeloid_leukaemia,6.150213,0.803867
TE-1,ESCA,aero_digestive_tract,oesophagus,6.825204,0.810391
CAPAN-2,PAAD,pancreas,pancreas,7.454672,0.810786
MDA-MB-330,BRCA,breast,breast,6.739953,0.814330
CL-40,COREAD,digestive_system,large_intestine,12.264685,0.815704
SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,6.181882,0.815843
SW1990,PAAD,pancreas,pancreas,7.947688,0.818753
SW156,KIRC,kidney,kidney,6.864533,0.818774
NCI-H28,MESO,lung,mesothelioma,8.142353,0.823396
DB,DLBC,blood,B_cell_lymphoma,8.504875,0.825632
SW48,COREAD,digestive_system,large_intestine,6.580895,0.825841
CFPAC-1,PAAD,pancreas,pancreas,6.951227,0.827783
CAL-29,BLCA,urogenital_system,bladder,6.458887,0.828701
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,6.046219,0.831032
A388,UNCLASSIFIED,skin,skin_other,8.298737,0.833073
RCC-JF,KIRC,kidney,kidney,7.290199,0.833180
MDA-MB-361,BRCA,breast,breast,6.644605,0.833705
D-502MG,LGG,nervous_system,glioma,12.511944,0.835624
SW837,COREAD,digestive_system,large_intestine,10.493213,0.835700
KNS-62,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,10.062868,0.835738
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,7.004547,0.839145
BB65-RCC,KIRC,kidney,kidney,9.180474,0.839437
IGROV-1,OV,urogenital_system,ovary,11.078777,0.839478
MFE-319,UCEC,urogenital_system,endometrium,6.408039,0.839671
HT-3,CESC,urogenital_system,cervix,7.419461,0.843968
SK-N-DZ,NB,nervous_system,neuroblastoma,9.059990,0.844563
ES7,UNCLASSIFIED,bone,ewings_sarcoma,7.852843,0.844952
HCC1569,BRCA,breast,breast,10.068841,0.845660
HT,DLBC,blood,B_cell_lymphoma,6.770724,0.845711
NCI-H747,COREAD,digestive_system,large_intestine,10.455749,0.846026
OVCAR-4,OV,urogenital_system,ovary,13.504803,0.847354
YAPC,PAAD,pancreas,pancreas,10.399335,0.847522
PANC-02-03,PAAD,pancreas,pancreas,9.895326,0.848102
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,8.858396,0.850442
C2BBe1,COREAD,digestive_system,large_intestine,9.921623,0.851910
COLO-678,COREAD,digestive_system,large_intestine,10.517720,0.852595
TE-6,ESCA,aero_digestive_tract,oesophagus,10.805110,0.854811
NCI-H513,MESO,lung,mesothelioma,12.078798,0.855155
NCI-H441,LUAD,lung,lung_NSCLC_adenocarcinoma,16.864079,0.856003
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,9.499697,0.856918
PA-TU-8902,PAAD,pancreas,pancreas,9.737467,0.857964
NCI-H522,LUAD,lung,lung_NSCLC_adenocarcinoma,9.628299,0.859235
DoTc2-4510,CESC,urogenital_system,cervix,7.979810,0.859541
SNU-C2B,COREAD,digestive_system,large_intestine,13.726584,0.859997
NCI-H1355,LUAD,lung,lung_NSCLC_adenocarcinoma,14.292143,0.860190
HH,UNCLASSIFIED,blood,T_cell_leukemia,13.985648,0.861365
NCI-H1299,UNCLASSIFIED,lung,lung_NSCLC_large_cell,11.977816,0.861868
T47D,BRCA,breast,breast,17.086286,0.862540
