"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,0.051588,0.359517
DU-145,PRAD,urogenital_system,prostate,0.202167,0.572710
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.258325,0.616450
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.410854,0.669283
TT2609-C02,THCA,thyroid,thyroid,0.441036,0.690000
LB2241-RCC,KIRC,kidney,kidney,0.483106,0.698207
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.455699,0.700010
DB,DLBC,blood,B_cell_lymphoma,0.638714,0.720081
PL18,PAAD,pancreas,pancreas,0.595939,0.733953
ACHN,KIRC,kidney,kidney,0.669271,0.735929
SK-LU-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.749532,0.743387
GOTO,NB,nervous_system,neuroblastoma,0.724759,0.744367
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.625248,0.746578
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,0.733799,0.747910
KON,HNSC,aero_digestive_tract,head_and_neck,0.623748,0.750459
KELLY,NB,nervous_system,neuroblastoma,0.628647,0.754259
BICR10,HNSC,aero_digestive_tract,head_and_neck,0.738531,0.756280
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.567735,0.756461
CTB-1,DLBC,blood,B_cell_lymphoma,1.032824,0.763164
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.665296,0.765604
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.743280,0.770966
HAL-01,ALL,blood,lymphoblastic_leukemia,0.810575,0.771239
BICR78,HNSC,aero_digestive_tract,head_and_neck,0.899792,0.771783
GR-ST,ALL,blood,lymphoblastic_leukemia,1.060846,0.772898
CAL-29,BLCA,urogenital_system,bladder,0.830149,0.777279
MV-4-11,UNCLASSIFIED,blood,leukemia,0.726925,0.778874
MOLM-16,LAML,blood,acute_myeloid_leukaemia,0.752838,0.782102
CAL-72,UNCLASSIFIED,bone,osteosarcoma,1.268731,0.789707
MKN45,STAD,digestive_system,stomach,1.218393,0.791313
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.105179,0.795519
DOK,HNSC,aero_digestive_tract,head_and_neck,1.449221,0.795661
CHL-1,SKCM,skin,melanoma,0.949100,0.804333
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,1.353523,0.804801
HSC-3,HNSC,aero_digestive_tract,head_and_neck,0.873391,0.807518
769-P,KIRC,kidney,kidney,1.144943,0.808726
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.844024,0.809401
HTC-C3,THCA,thyroid,thyroid,1.260353,0.812661
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.013775,0.812901
WM35,SKCM,skin,melanoma,1.081833,0.813365
OVCAR-8,OV,urogenital_system,ovary,1.025351,0.814714
CPC-N,SCLC,lung,lung_small_cell_carcinoma,1.240149,0.814947
SW1990,PAAD,pancreas,pancreas,1.527645,0.814955
NB13,NB,nervous_system,neuroblastoma,1.004754,0.818769
PCI-38,HNSC,aero_digestive_tract,head_and_neck,1.186553,0.819023
