"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
A3-KAW,DLBC,blood,B_cell_lymphoma,0.150728,0.099335
SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.203401,0.117695
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.194000,0.132769
JSC-1,DLBC,blood,B_cell_lymphoma,0.241739,0.192452
SLVL,DLBC,blood,B_cell_lymphoma,0.414748,0.265391
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.539279,0.271109
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.519898,0.281334
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.574462,0.296977
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.636137,0.337842
PSN1,PAAD,pancreas,pancreas,0.835904,0.352469
CAL-148,BRCA,breast,breast,0.814666,0.353444
YT,ALL,blood,lymphoid_neoplasm_other,0.840322,0.356000
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.877439,0.358748
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.836699,0.365880
KELLY,NB,nervous_system,neuroblastoma,0.948559,0.377881
NOMO-1,LAML,blood,acute_myeloid_leukaemia,0.874654,0.379820
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.951948,0.381633
ALL-PO,ALL,blood,lymphoblastic_leukemia,0.925964,0.382077
RPMI-8226,MM,blood,myeloma,0.987477,0.385049
IMR-5,NB,nervous_system,neuroblastoma,1.025671,0.388680
SCC-3,DLBC,blood,B_cell_lymphoma,1.068168,0.388937
JHU-011,HNSC,aero_digestive_tract,head_and_neck,1.011477,0.390195
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,1.043776,0.392501
NEC8,UNCLASSIFIED,urogenital_system,testis,1.067129,0.393027
MV-4-11,UNCLASSIFIED,blood,leukemia,1.056746,0.393706
HEL,LAML,blood,acute_myeloid_leukaemia,1.101104,0.397393
NB17,NB,nervous_system,neuroblastoma,1.005997,0.400510
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,1.137154,0.406341
MC-CAR,MM,blood,haematopoietic_neoplasm_other,1.160302,0.408888
NKM-1,LAML,blood,acute_myeloid_leukaemia,1.083560,0.409060
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,1.202465,0.412646
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.257226,0.419440
TUR,DLBC,blood,B_cell_lymphoma,1.231793,0.420693
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,1.239372,0.422023
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,1.237031,0.422816
BV-173,LCML,blood,chronic_myeloid_leukaemia,1.259517,0.425491
BC-3,DLBC,blood,B_cell_lymphoma,1.356286,0.433693
ES1,UNCLASSIFIED,bone,ewings_sarcoma,1.307913,0.435376
CAL-27,HNSC,aero_digestive_tract,head_and_neck,1.362448,0.438714
NU-DUL-1,DLBC,blood,B_cell_lymphoma,1.476877,0.447273
PA-1,UNCLASSIFIED,urogenital_system,ovary,1.523055,0.452081
MHH-NB-11,NB,nervous_system,neuroblastoma,1.461849,0.453193
MRK-nu-1,BRCA,breast,breast,1.538218,0.459893
CHP-126,NB,nervous_system,neuroblastoma,1.585543,0.464165
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,1.641056,0.468053
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,1.675412,0.471095
SUP-B15,ALL,blood,lymphoblastic_leukemia,1.675707,0.471654
22RV1,PRAD,urogenital_system,prostate,1.785078,0.483054
A4-Fuk,DLBC,blood,B_cell_lymphoma,1.805254,0.483730
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,1.822638,0.484526
HuP-T4,PAAD,pancreas,pancreas,1.851111,0.488075
ES7,UNCLASSIFIED,bone,ewings_sarcoma,1.881715,0.490528
MY-M12,ALL,blood,leukemia,1.934602,0.494840
A2780,UNCLASSIFIED,urogenital_system,ovary,1.947546,0.495768
RS4-11,ALL,blood,leukemia,1.975428,0.498006
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,2.005671,0.500488
SBC-3,SCLC,lung,lung_small_cell_carcinoma,2.006506,0.500544
REH,UNCLASSIFIED,blood,B_cell_leukemia,2.016408,0.501337
ARH-77,MM,blood,myeloma,2.036437,0.502949
KYSE-450,ESCA,aero_digestive_tract,oesophagus,2.075318,0.505927
CHP-134,NB,nervous_system,neuroblastoma,2.078669,0.505970
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,2.097442,0.507145
SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,2.083657,0.507215
OVCAR-8,OV,urogenital_system,ovary,2.091535,0.507311
MOLP-8,MM,blood,myeloma,2.097133,0.507874
LS-513,COREAD,digestive_system,large_intestine,2.134543,0.509930
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,2.140440,0.511630
ES8,UNCLASSIFIED,bone,ewings_sarcoma,2.257444,0.519729
NB4,LAML,blood,acute_myeloid_leukaemia,2.279518,0.522790
GOTO,NB,nervous_system,neuroblastoma,2.385409,0.526004
CESS,LAML,blood,acute_myeloid_leukaemia,2.361117,0.528062
KGN,UNCLASSIFIED,urogenital_system,ovary,2.417578,0.528254
LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.410408,0.528969
IPC-298,SKCM,skin,melanoma,2.458555,0.532800
GDM-1,LAML,blood,acute_myeloid_leukaemia,2.508170,0.534307
LS-411N,COREAD,digestive_system,large_intestine,2.588299,0.537490
NCI-H810,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.525048,0.537693
G-401,UNCLASSIFIED,kidney,kidney,2.603771,0.540254
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,2.549598,0.540789
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,2.605477,0.541970
Farage,DLBC,blood,B_cell_lymphoma,2.555077,0.542192
COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.626380,0.543401
HCT-116,COREAD,digestive_system,large_intestine,2.690540,0.548859
MOLT-4,ALL,blood,lymphoblastic_leukemia,2.662458,0.549151
ESO26,ESCA,aero_digestive_tract,oesophagus,2.723130,0.549314
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,2.816497,0.549931
VAL,DLBC,blood,B_cell_lymphoma,2.853513,0.553808
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,2.801453,0.555495
KYSE-180,ESCA,aero_digestive_tract,oesophagus,2.868773,0.557806
Hey,OV,urogenital_system,ovary,2.913097,0.561729
OC-314,OV,urogenital_system,ovary,2.921090,0.562434
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,2.996552,0.564059
HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,2.991218,0.565664
RF-48,STAD,digestive_system,stomach,3.206185,0.568713
MZ1-PC,PAAD,pancreas,pancreas,3.206432,0.569817
OCI-LY-19,DLBC,blood,B_cell_lymphoma,3.043333,0.569996
NCI-H520,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.191951,0.574005
ML-2,LAML,blood,acute_myeloid_leukaemia,3.168913,0.576127
CAL-39,CESC,urogenital_system,cervix,3.335079,0.581102
MEL-JUSO,SKCM,skin,melanoma,3.470477,0.585464
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,3.281027,0.588395
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,3.452468,0.589252
SNU-407,COREAD,digestive_system,large_intestine,3.681341,0.589616
786-0,KIRC,kidney,kidney,3.489145,0.591821
RKO,COREAD,digestive_system,large_intestine,3.515263,0.592287
HCC70,BRCA,breast,breast,3.643878,0.592488
PANC-03-27,PAAD,pancreas,pancreas,3.667696,0.597919
ESO51,ESCA,aero_digestive_tract,oesophagus,4.128729,0.599825
SK-MM-2,MM,blood,myeloma,3.858243,0.600471
LS-1034,COREAD,digestive_system,large_intestine,3.921953,0.601121
LoVo,COREAD,digestive_system,large_intestine,3.904443,0.602383
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,3.683511,0.602970
KCL-22,LCML,blood,chronic_myeloid_leukaemia,3.657052,0.603299
MEG-01,LCML,blood,chronic_myeloid_leukaemia,3.896578,0.603558
23132-87,STAD,digestive_system,stomach,3.918837,0.606621
769-P,KIRC,kidney,kidney,4.041323,0.607212
U-2-OS,UNCLASSIFIED,bone,osteosarcoma,4.125601,0.607363
P30-OHK,ALL,blood,lymphoblastic_leukemia,3.801040,0.610454
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,3.912988,0.610588
CMK,LAML,blood,acute_myeloid_leukaemia,3.880898,0.613872
JVM-2,CLL,blood,lymphoid_neoplasm_other,4.952095,0.615359
SNU-81,COREAD,digestive_system,large_intestine,4.624300,0.617234
HAL-01,ALL,blood,lymphoblastic_leukemia,4.302982,0.617853
MS-1,SCLC,lung,lung_small_cell_carcinoma,4.125188,0.618657
KE-37,ALL,blood,lymphoblastic_leukemia,3.930827,0.619636
HT-29,COREAD,digestive_system,large_intestine,4.569573,0.620645
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.482852,0.621468
HCT-15,COREAD,digestive_system,large_intestine,4.431932,0.622003
ES-2,UNCLASSIFIED,urogenital_system,ovary,4.306300,0.624533
AM-38,GBM,nervous_system,glioma,4.442542,0.624665
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,4.915788,0.624726
BC-1,DLBC,blood,B_cell_lymphoma,4.200499,0.626225
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,4.213972,0.627830
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,4.787507,0.627896
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,4.708311,0.631371
MHH-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,4.555322,0.631569
ES4,UNCLASSIFIED,bone,ewings_sarcoma,4.936929,0.633220
SUIT-2,PAAD,pancreas,pancreas,4.724509,0.633461
HSC-4,HNSC,aero_digestive_tract,head_and_neck,5.357652,0.636989
THP-1,LAML,blood,acute_myeloid_leukaemia,4.643798,0.639771
NB13,NB,nervous_system,neuroblastoma,4.680172,0.639800
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,5.131674,0.641661
WM1552C,SKCM,skin,melanoma,5.124696,0.643046
COLO-205,COREAD,digestive_system,large_intestine,4.940476,0.644986
HCC1806,UNCLASSIFIED,breast,breast,4.886439,0.645172
HH,UNCLASSIFIED,blood,T_cell_leukemia,5.834006,0.645347
NCI-H3122,LUAD,lung,lung_NSCLC_adenocarcinoma,5.260360,0.645753
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,4.760339,0.647969
TE-6,ESCA,aero_digestive_tract,oesophagus,5.844270,0.652929
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,5.488262,0.652974
AMO-1,MM,blood,haematopoietic_neoplasm_other,5.033068,0.656105
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,5.570997,0.657176
OVMIU,OV,urogenital_system,ovary,6.195311,0.659332
SNU-61,COREAD,digestive_system,large_intestine,6.847549,0.659344
KM12,COREAD,digestive_system,large_intestine,5.938473,0.660509
EFO-27,UNCLASSIFIED,urogenital_system,ovary,6.510921,0.663852
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,5.903479,0.666606
L-363,MM,blood,myeloma,5.466856,0.667757
SIMA,NB,nervous_system,neuroblastoma,6.143113,0.668229
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,5.945597,0.668361
NB10,NB,nervous_system,neuroblastoma,6.056940,0.668719
