"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
22RV1,PRAD,urogenital_system,prostate,11.865806,0.869391
23132-87,STAD,digestive_system,stomach,3.673939,0.766145
42-MG-BA,GBM,nervous_system,glioma,1.801578,0.663288
451Lu,SKCM,skin,melanoma,0.036185,0.121474
5637,BLCA,urogenital_system,bladder,5.086498,0.821607
639-V,BLCA,urogenital_system,bladder,2.192680,0.706351
647-V,BLCA,urogenital_system,bladder,1.769124,0.659638
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.546579,0.476888
769-P,KIRC,kidney,kidney,1.844676,0.662802
786-0,KIRC,kidney,kidney,2.157980,0.699962
8-MG-BA,GBM,nervous_system,glioma,1.737061,0.665632
8305C,THCA,thyroid,thyroid,1.090764,0.580537
8505C,THCA,thyroid,thyroid,1.520632,0.637205
A101D,SKCM,skin,melanoma,0.332372,0.411508
A172,GBM,nervous_system,glioma,1.083087,0.587403
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.339509,0.416321
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,1.899120,0.669882
A2780,UNCLASSIFIED,urogenital_system,ovary,1.625615,0.649596
A3-KAW,DLBC,blood,B_cell_lymphoma,1.285067,0.625638
A375,SKCM,skin,melanoma,0.022265,0.063251
A388,UNCLASSIFIED,skin,skin_other,2.293379,0.684752
A4-Fuk,DLBC,blood,B_cell_lymphoma,3.802067,0.768860
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,3.026268,0.734793
A431,UNCLASSIFIED,skin,skin_other,2.235741,0.704782
A498,KIRC,kidney,kidney,0.516735,0.475884
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,0.589269,0.491571
A673,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,1.480134,0.641645
A704,KIRC,kidney,kidney,2.598298,0.724760
ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,3.773731,0.748919
ACHN,KIRC,kidney,kidney,2.022129,0.669837
ALL-PO,ALL,blood,lymphoblastic_leukemia,2.198085,0.688884
ALL-SIL,ALL,blood,T_cell_leukemia,1.351462,0.630662
AM-38,GBM,nervous_system,glioma,7.263296,0.842692
AMO-1,MM,blood,haematopoietic_neoplasm_other,2.017931,0.696571
AN3-CA,UCEC,urogenital_system,endometrium,0.508049,0.468433
ARH-77,MM,blood,myeloma,2.895966,0.739492
ASH-3,THCA,thyroid,thyroid,0.853010,0.550371
AsPC-1,PAAD,pancreas,pancreas,1.529353,0.608896
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,3.048869,0.743138
B-CPAP,THCA,thyroid,thyroid,0.230747,0.336290
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,5.989224,0.794336
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,0.268818,0.383314
BB65-RCC,KIRC,kidney,kidney,2.429452,0.690416
